"","Seq1","Seq2","P.vals","CorrCoef","Domain1","Phylum1","Order1","Domain2","Phylum2","Order2","Link"
"1","MEND-TF-18S-1","MEND-TF-18S-309",0,0.98116134065499,"Eukaryota","Bigyra","Bicosoecida","Eukaryota","Bigyra","Bicosoecida","Euk-Euk"
"2","MEND-TF-18S-1","MEND-TF-16S-235",0,0.692582868332228,"Eukaryota","Bigyra","Bicosoecida","Bacteria","Verrucomicrobia","Verrucomicrobiales","Euk-Bact"
"3","MEND-TF-18S-1","MEND-TF-16S-1050",0,0.730391438517724,"Eukaryota","Bigyra","Bicosoecida","Bacteria","Proteobacteria","Caulobacterales","Euk-Bact"
"4","MEND-TF-18S-1","MEND-TF-16S-679",0,0.520498942750823,"Eukaryota","Bigyra","Bicosoecida","Bacteria","Bacteroidetes","Flavobacteriales","Euk-Bact"
"5","MEND-TF-18S-10","MEND-TF-18S-131",0,0.750626046643555,"Eukaryota","Bigyra","Bicosoecida","Eukaryota","Bigyra","Bicosoecida","Euk-Euk"
"6","MEND-TF-18S-19","MEND-TF-18S-23",0,0.670249121179934,"Eukaryota","Arthropoda","Diplostraca","Eukaryota","Arthropoda","Diplostraca","Euk-Euk"
"7","MEND-TF-18S-23","MEND-TF-18S-19",0,0.670249121179934,"Eukaryota","Arthropoda","Diplostraca","Eukaryota","Arthropoda","Diplostraca","Euk-Euk"
"8","MEND-TF-18S-23","MEND-TF-16S-610",0,0.525836409796718,"Eukaryota","Arthropoda","Diplostraca","Bacteria","Actinobacteria","Micrococcales","Euk-Bact"
"9","MEND-TF-18S-23","MEND-TF-16S-687",0,0.506737179979017,"Eukaryota","Arthropoda","Diplostraca","Bacteria","Actinobacteria","Micrococcales","Euk-Bact"
"10","MEND-TF-18S-23","MEND-TF-16S-1634",0,0.518930197166967,"Eukaryota","Arthropoda","Diplostraca","Bacteria","Actinobacteria","Micrococcales","Euk-Bact"
"11","MEND-TF-18S-29","MEND-TF-18S-133",0,0.598892701224203,"Eukaryota","Ciliophora","Ciliophora incertae sedis","Eukaryota","Ochrophyta","Aulacoseirales","Euk-Euk"
"12","MEND-TF-18S-29","MEND-TF-18S-233",0,0.527508115236687,"Eukaryota","Ciliophora","Ciliophora incertae sedis","Eukaryota","Bigyra","Thraustochytrida","Euk-Euk"
"13","MEND-TF-18S-29","MEND-TF-18S-295",0,0.53892543017732,"Eukaryota","Ciliophora","Ciliophora incertae sedis","Eukaryota","Ciliophora","Ciliophora incertae sedis","Euk-Euk"
